,author,review,date,critic_score,publication,review_link
0,Karen Gordon,"In a word, it’s terrific.",2019-04-24,100,original cin,https://www.original-cin.ca/posts/2019/4/24/avengers-endgame-if-you-must-say-goodbye-this-is-the-way-to-say-it
1,Michael O'Sullivan,"If “Infinity War” was about failure, “Endgame” is, ironically, all about acceptance and moving on. After 11 long years, the Infinity Saga is finally, fulfillingly over. There is no post-credit scene. But oh, what a going-away party these old friends have thrown for themselves.",2019-04-23,100,washington post,https://www.washingtonpost.com/goingoutguide/movies/with-humor-and-heart-avengers-endgame-is-a-fitting-send-off-for-marvels-superheroes/2019/04/23/539f3890-6391-11e9-9412-daf3d2e67c6d_story.html?utm_term=.0b83f8a52ca7
2,Helen O'Hara,"A victory lap that moonwalks through the best part of the MCU back catalogue and emphasises emotion as much as action, this is an intensely satisfying piece of blockbuster filmmaking.",2019-04-23,100,empire,https://www.empireonline.com/movies/avengers-endgame/review/
3,Richard Roeper,"I’m not prepared to instantly label Avengers: Endgame as the best of the 23 Marvel Universe movies to date, but it’s a serious contender for the crown and it’s the undisputed champion when it comes to emotional punch.",2019-04-23,100,chicago sun times,https://chicago.suntimes.com/entertainment/avengers-endgame-review-movie-marvel-richard-roeper/
4,Peter Bradshaw,"I have to admit, in all its surreal grandiosity, in all its delirious absurdity, there is a huge sugar rush of excitement to this mighty finale, finally interchanging with euphoric emotion and allowing us to say poignant farewells.",2019-04-23,100,the guardian,https://www.theguardian.com/film/2019/apr/23/avengers-endgame-review-unconquerable-brilliance-takes-marvel-to-new-heights
5,Chris Gore,Marvel has clearly saved the best for last and I cannot stress how much those fan service moments will have you cheering. I highly recommend that you see Endgame in a packed theater of fans so that you can experience the climactic ending with the energy of the crowd.,2019-04-25,95,film threat,http://filmthreat.com/reviews/avengers-endgame/
6,Laura Prudom,"Avengers: Endgame is easily the Marvel Cinematic Universe’s most ambitious, emotional, and affecting film to date, somehow managing to tie up more than a decade of storytelling in a confident (and mostly coherent) climax - a hurdle that many other blockbuster franchises have stumbled over in their final runs.",2019-04-23,95,ign,https://www.ign.com/articles/2019/04/23/avengers-endgame-review
7,Michael Burgin,"Comic book fans know the thrill of following all your favorite characters through a multi-issue storyline that culminates in a “universe at stake” ending. Now, thanks to 21 movies in 11 years and one massive, satisfying three-hour finale, moviegoers do, too.",2019-04-30,93,paste magazine,https://www.pastemagazine.com/articles/2019/04/avengers-endgame.html
8,Brian Lowry,"Even with the interlocking nature of the Marvel Cinematic Universe, Endgame feels like a triumph of narrative engineering -- weaving in enough callbacks to earlier movies to delight even the nerdiest patrons.",2019-05-21,90,cnn,https://www.cnn.com/2019/04/23/entertainment/avengers-endgame-review/index.html
9,Joe Morgenstern,"Succeeds at its daunting task: summing up an epic struggle with bedazzling action; with a style that progresses, apart from a few lapses, from the elegiac through the episodic to the symphonic; and with more humor, zest and feeling — the real, heartfelt stuff — than you’d dare to expect from what is, after all, an immense industrial undertaking.",2019-04-24,90,wall street journal,https://www.wsj.com/articles/avengers-endgame-review-a-marvelous-wrap-11556124677
