,user,review,date,user_score,review_votes,review_upvotes,review_downvotes,language
2,Ztheman80,Phenomenal ending to a great 20 year franchise. Thor is still my absolute favorite.,2019-05-17,10,45,40,5,English
3,heysniccker,No spoilers!This movie blew me away!Its like an emotional rollercoaster from beginning to end. It also manages to be one of the funniest and quick witted MCU movies. The audience applauded when the movie ended.It is a must watch!,2019-04-26,10,50,44,6,English
4,Lilydemarch,A good concusion to a mind blowing series of movies. I'm happy with how everything turned out even though I'm dissapointed with the character treatment of Thor and Hulk. An epic conclusion.,2019-05-25,8,48,42,6,English
5,artardmoshea,"The things that I didn't like about Infinity War are alive and well in Endgame.Too much mindless action, not enough good story.Too many characters and none of them had any presence.I spent the whole movie waiting for the Stan Lee cameo and all I got was a Marc Maron flyby.As an old school comic reader, the power levels of most of the heroes in this movie are really annoying.Middle of the pack as far as Marvel movies are concerned.",2019-04-27,7,23,20,3,English
8,Olanamka,"It is one of the best movies I've ever seen! Emotional, unpredictable, amazing... All the theories turned out to be wrong; they made it a complete surprise.",2019-04-28,10,41,35,6,English
9,DeviMon1,"Go ahead and watch the trailers for Avengers: Endgame, they won't give anything major away. It's amazing for a huge movie to be so self-aware of itself, as well as, the movie genres that they're overtly borrowing from. The minor characters or those not even in Avengers: Infinity War, step up and help set up huge sequences that are highly entertaining and actually answer questions. Avengers: Endgame acknowledges every aspect of the characters emotions in their previous MCU film's and succeeds in the most Meta way possible.Ant-Man is a major reason for this. It's no spoiler to say that he's in the film as he produces some of the biggest laughs from the trailer of him ringing the bell at the Avenger's front gate. It's Paul Rudd's wry jokes, quick timing and fish out of water facial expressions that really assist things.The pacing of Avengers: Endgame is amazing and not for the reasons you might think. It's brilliantly paced, but it throws the entire formula and how MCU films are done on their head. Battle, loss, battle, loss, humor and then victory, take those ingredients, shake well and you've got a loose description of some average superhero films.If Avengers: Infinity War left you feeling betrayed and bummed out, I feel you. Avengers: Endgame more than makes up for any ill feelings that it caused. I see why they played it the way they did, and doing so any other way would've cheapened the film, watered down the MCU and made it all disposable. It is also worth noting that the film balance lots of humor with the drama, all the while putting it in a nice bow with stones.What we're left with is a 10 year opus that spans more arcs than Lord of the Rings and encapsulates it all in a perfect manner. Granted, they will still make many MCU films, this is not their swan song. However, there is a victory lap feeling about Avengers: Endgame. It respects the fans, adds to the dramatic elements, answers questions that fans have wondered about and plants a couple new seeds to grow on.",2019-04-26,10,54,46,8,English
10,bkristman,"A very mixed bag of good ,bad and meh. They actually could have split this episode into 2 parts and it would have been better because they tried to jam way too much exposition,wrapping up of loose ends and results for all characters into 'only' 3 hours.That didn't leave any time for most characters to be anything more than devices to move the plot along.The last hour makes the price of admission worth it though as a lot happens.Anyone worried about Captain Marvel taking over the film as dominant figure rest easy .It's not that way. Still worth an 8.",2019-04-26,8,54,46,8,English
11,Threnodist,"About the all female scene: as a straight guy, I like that scene. I have seen so many negative comments about it and state the scene is so ""forced"". Well, if we use this mindset, the whole movie is ""forced"" because so many things had to happen at the right place and right time: Tony Stark meeting his father, Steve Rogers getting back with his love of life. Also, if Hulk, Iron Man, Captain America, Thor, Hawkeye, Star Lord, Black Panther and Dr. Strange are fighting together in one scene, I don't think people would say it's ""forced"" although they are all males. Last but not least, this whole movie is a fan service. Let's just celebrate the diversity of the superhero lineup. Everyone of them is the favorite for some fans. You don't need to bash others to love one. Thank you!",2019-05-02,8,31,26,5,English
13,mr_ahs,A fantastic movie without a malfunction and the peak of all 22 Marvel films,2019-05-16,10,44,36,8,English
14,Jaredc324,"Endgame kicks off with an invigorating prologue (making you believe you are in for the Avengers ride of your life), but then swiftly drags and trudges its way through time-travel confusion. While it's ""greatest hits"" venture lives up to it's sentimental sendoff, it was just eye-winking filler to get to it's grand, over-the-top finale, that offers more than enough eye-candy to be satisfied. But its the final moments that truly give this series it's hoorah that it deserves. And they make you weep, even if you never cared.",2019-05-06,7,19,15,4,English
15,Samir17Sehgal,"In order to fully appreciate this heart warming and tear jerking 3 hour epic, I'd recommend rewatching all the other dozen or so Marvel feature films! Truly mind-blowing special effects and excellent acting, in particular from Robert Downey Jr, RIP, however slightly undermined by forced upon Identity Politics and a be-muddled and confused plot, with the excessive use of time travel not helping to ease more casual viewers into a wider experience. All in all, a good movie and a satisfying ending.",2019-05-04,7,23,18,5,English
16,CerysJarman,"Amazing end to such a long journey. It completely captured how it was Tony's world all along; with a satisfying ending that tied up the loose ends that we original Marvel fans have been wanting to see for a long time. And while there were moments that could be called ""fan service"" it was exactly what we needed after such a long time getting here, It was bittersweet.",2019-04-27,10,41,32,9,English
17,FERNAN,It's the best movie i ever seen in my life. Wow!!! Congrats to th Russo's. I hope it's not the last one.,2019-05-25,10,40,31,9,English
18,tremault,"I would have given it a 9 or a 10 if it were not for the feminist agenda. There were plenty of scenes showing strong capable women throughout the film and I loved them. what I did not love, was the power puff girls scene at the end.",2019-05-05,8,22,17,5,English
19,bfoore90,"Endgame was a frustrating film for me to review, Because on one hand I was mindblown by the sheer force of this film. While, it is a satisfying conclusion to the stories of Iron-Man, Captain America and a few others; you can't help but get confused by the convoluted and overthought time-heist middle of the film. It's not as good as Infinity Wars it still provides a ton of emotionally satisfying moments that should please longtime fans of the series.",2019-04-26,8,47,36,11,English
20,ron0001,"I have to say this movie just blew me away, every aspect of it, the character arc that the entire cast go through especially Thor, Tony and Steve the world post snap and of course a 3rd act that just was a comic book come to life in all of it's glory. For me this is a masterpiece and one that I will treasure forever and I'm great-full for everyone in marvel who help made this piece. Best comic book movie of all time in my humble opinion, just a must watch for every fan.",2019-04-29,10,51,39,12,English
21,roastbird,"All right, movie itself.It's not bad, but it's not excellent.Infinity war is better.Pro:Fan service, Great CGI,Iron manCon:Whatever you complained in Batman vs Superman and SJW star wars.this movie has them.And that's why people are giving ""0""s.I also took one points off because the reference to ""back to future"", it's very disrespectful,Just like what they did in Star Wars.Man, I can't believe ten year has passed. I don't think there will be another iron man in my life time.Thanks Robert Downey Jr. :D",2019-04-27,7,21,16,5,English
22,thefakepierre,"This is one of the best MCU films. On 2nd showing, now I see a couple of plot holes, questionable moments and an awkward moment.",2019-04-26,9,21,16,5,English
23,VultuRex,"Best Marvel film, so emotional, electrifying, so much heartthrob, and definitely worth the three hours",2019-04-26,10,277,210,67,English
24,Jes1310,"Endgame – delivers!  And that is an amazing feat. With more than 50 (!!!) Hollywood stars in one movie and a playing time in the region of 3 hours. This is not your standard superhero flick, no Endgame is more about loss, love, relations, family and just appreciating what you have.I absolutely loved all the funny references to other Marvel movies, and the jokes regarding time travel are hilarious. There are countless references and my favorite is the Coen reference to Thors new appearance.A worthy finale to a journey more than 10 years in the making.Must see if you like Marvel.",2019-05-10,9,46,34,12,English
