,author,review,date,critic_score,publication,review_link
0,Matt Maytum,"The Avengers latest stand feels well worth the wait. It’s not perfect, but it goes to a place most tentpole movies wouldn’t dream of, while retaining the scale, excitement, and humour you’ve come to demand from an MCU movie.",2018-04-24,100,total film,https://www.gamesradar.com/avengers-infinity-war-review-2/
1,Helen O'Hara,"Marvel has solved their third-act problem and villain problem and then some. However prepared you feel, you are not ready for Thanos. But then, neither are our heroes.",2018-04-24,100,empire,https://www.empireonline.com/movies/avengers-infinity-war/review/
2,Chris Gore,"The perfect mix of thrilling action, compelling storytelling, memorable characters, comedic moments — and all of that works in tandem like an orchestra bellowing an epic score. Infinity War leaves audiences wanting more… and with a lot to think about.",2020-01-15,95,film threat,https://filmthreat.com/reviews/avengers-infinity-war/
3,Michael Burgin,"Avengers: Infinity War is epic in a way that has been often aspired to but never fully grasped when it comes to the translation from comic book panel to the Big Screen. It’s what happens when moviemakers take their source material seriously, eschewing unnecessary melodrama even as they fully embrace the grandeur, the sheer spectacle, of it all.",2018-04-25,93,paste magazine,https://www.pastemagazine.com/articles/2018/04/avengers-infinity-war.html
4,Bryan Bishop,"After years of movies where even the most mediocre heroes appeared to be invulnerable and indomitable, it’s an arresting jolt — and exactly the film the franchise needed.",2018-04-24,91,the verge,https://www.theverge.com/2018/4/24/17276030/avengers-infinity-war-review-marvel-iron-man
5,Tim Grierson,"The film boasts plenty of comic-book action while also making room for a darker tone and emotional resonance rarely matched in previous installments. In a cinematic world stuffed with big-budget movies, Infinity War is a genuine blockbuster.",2018-04-24,90,screen daily,https://www.screendaily.com/reviews/avengers-infinity-war-review/5128524.article
6,Scott Collura,"Using the strength of its powerful and interesting villain to set the stakes higher than ever, Avengers: Infinity War successfully brings together the past 10 years of Marvel movies into a largely effective cocktail of super-heroic dramatics.",2018-04-24,90,ign,http://www.ign.com/articles/2018/04/24/avengers-infinity-war-review
7,Christopher Orr,"Never has the “Marvel Cinematic Universe” seemed like more of a universe, in ways both good and bad. Infinity War—the title is almost too apt—is a narrative juggling act the likes of which I’m not sure I’ve ever seen before. It is far from a perfect movie, but it is probably close to the best movie it could have been.",2018-04-26,89,the atlantic,https://www.theatlantic.com/entertainment/archive/2018/04/avengers-infinity-war-marvel-review/558983/
8,Richard Whittaker,"The Marvel films have been accused of being repetitive in their structure; Infinity War bursts any conventions wide apart. This is a vast, truly epic endeavor, one that both brings the current MCU to a near-climax (wait for the so-far-untitled follow-up, due May 2019, for the ultimate resolution), and sets the future in motion.",2018-04-25,89,austin chronicle,https://www.austinchronicle.com/events/film/2018-04-27/avengers-infinity-wars/
9,James Berardinelli,"No, it’s not a game-changer like ""Deadpool"" or ""Logan."" It remains firmly anchored within the “traditional” comic book milieu. But, with an unwavering devotion to spectacle and action, the film throws down a gauntlet where this kind of mass team-up is concerned.",2018-04-25,88,reelviews,http://www.reelviews.net/reelviews/avengers-infinity-war
10,Richard Roeper,"Infinity War might be the biggest and most ambitious Marvel movie yet, but it’s certainly not the best. (I’d put it somewhere in the bottom half of the Top 10.) However, there’s plenty of action, humor and heart — and some genuinely effective dramatic moments in which familiar and beloved characters experience real, seemingly irreversible losses.",2018-04-25,88,chicago sun times,https://chicago.suntimes.com/entertainment/avengers-infinity-war-unites-stark-and-star-lord-in-a-massive-marvel-mashup/
11,Brian Truitt,"It could have been an unholy mess, but with directors Anthony and Joe Russo at the helm, Infinity War is instead a glorious, multilayered and clever comic-book adventure with loads of emotional stakes and a perfect foe for Earth’s mightiest heroes.",2018-04-24,88,usa today,https://www.usatoday.com/story/life/movies/2018/04/24/review-avengers-infinity-war-offers-marvelous-take-shakespearean-tragedy/543462002/
12,Rodrigo Perez,"Ultimately, the latest Marvel event is ‘Civil War’ on steroids and as enormous a spectacle as you’ll ever see on the screen that’ll leave you shook. For a movie plot this thin and basic, ‘Infinity War,’ is remarkably gripping, supersized entertainment that should exhilarate audiences, electrify the box office and continue the Marvel hegemony for years to come.",2018-04-24,83,the playlist,https://theplaylist.net/avengers-infinity-war-review-20180424/
13,Todd McCarthy,"With so many ingredients to stir into this overflowing pot, you have to hand it to the two experienced teams of Marvel collaborators who had a feel for how to pull this magnum opus off.",2018-04-24,80,the hollywood reporter,https://www.hollywoodreporter.com/review/avengers-infinity-war-review-1105484
14,Owen Gleiberman,It’s a sleekly witty action opera that’s at once overstuffed and bedazzling.,2018-04-24,80,variety,http://variety.com/2018/film/reviews/avengers-infinity-war-review-robert-downey-jr-chadwick-boseman-1202782256/
15,Stephen Whitty ,"The script is surprisingly smart, pulling together all the subplots and cutting among all the locations. Chris Pratt’s Star Lord has some clever lines. Thanos is a far more complex villain than we usually get. And the movie ends on a stark and shocking note.",2018-04-24,80,new york daily news,http://www.nydailynews.com/entertainment/movies/avengers-infinity-war-review-article-1.3951847
16,Peter Bradshaw,"Somehow in its pure uproariousness, it works. It’s just a supremely watchable film, utterly confident in its self-created malleable mythology. And confident also in the note of apocalyptic darkness.",2018-04-24,80,the guardian,https://www.theguardian.com/film/2018/apr/24/avengers-infinity-war-review-supremely-entertaining-showdown-in-the-grand-marvel-tradition
