,user,review,date,user_score,review_votes,review_upvotes,review_downvotes,language
0,alva3901,"Infinity War is the pinnacle of what blockbuster films should be. Directed by the Russo brothers, they manage to achieve the almost impossible feat of culminating all the characters and their stories into one epic film. The action, the characters, the story and the overall experience is spectacular to behold. Each characters has their own moment to shine, as we see new fun and somewhat emotional interactions between characters and story arcs that pay off as the film progresses . The result is a film that often feels surprisingly earnest and emotional. It pays off our emotional investment into these great characters over each of the 18 previous films through a great culmination of storytelling. The humor we have come to expect in Marvel films is lively and full of banter, particularly between Tony Stark (Robert Downey Jr) and Doctor Strange (Benedict Cumberbatch), and the quick-fire interplay between Thor (Chris Hemsworth) and the Guardians of the Galaxy. Unlike Marvel's cascade of villains who are turned secondary to their superhero counterparts, Thanos (Josh Brolin) is the central character in this epic, with a moral compass that is beyond what many might expect. Whilst he may seem to be the most demonic villain that the Avengers have come across, he is by far and away the most complex of them all, testament to the directing and writing of the film. There's a lot going on in this movie, with many scenes occurring almost simultaneously, leaving the ending on a much vague yet appropriate cliffhanger. Overall, Infinity War epitomizes the perfect blockbuster film that ends in poetic grace and is sure to leave you questioning what will happen next.",2018-04-27,10,56,56,0,English
1,dharma,"Avengers Infinity War is another gamble of sort by Marvel Studios.  It is an astonishing film that assumes that you have seen and is a fan of the 18 MCU films before it. It is not a film that can stood by itself,   It is a culmination of 10 years worth of 'hard work', interconnected story lines, multiple characters that define the MCU.  It is also a film that shows us that Marvel is so way above the curve in comparison to other studios that tries to establish an inter connected universe.  It also ends in a gut wrenching third act that segue in the 4th, yet untitled Avengers film.  Believe me, things will go bad, with many comparing this to the level of Empire Strikes Back.  Acting wise: Josh Brolin is an absolute stand out as Thanos, the main villain. He is the best villain the whole MCU.  The rest of the casts are no slouch either, balancing humor and tragedy in equal measure. The action sequences are also astonishing, with a higher stake: our heroes can and will die in this installment.  An absolute classic that ranks as the best MCU flick by far.",2018-04-27,10,52,52,0,English
2,ViniciusBrito,"The principal reason that this movie worked out so well is because you literally care about every single one of them, you care about them and feel for them. The fact that we already know all the characters very well is just so awesome, like you feel that they are your friends and you are part of them and they a part of you.The story of the movie is very simple, is basically Thanos, the big titan, going after all the 6 infinity stones for him to be able to balance the universe, so our heroes unite to do their best to stop him.For a super-hero to be that good, it is extremely important for the villain to be good, for him no to be generic, and with happiness i say that he is perfect in every aspect. I'm gonna start with the most important, he is not that generic villain that want to destroy the universe just for this very reason, he does have a motivation, a rational reason that does make a lot of sense, you probably don't agree but surely buy the idea, because makes sense and it is in our day to day life. His personality is on point, the character can pass his ideas clearely, he does have charisma and among the villains some unique characteristics, he can express emotions better than a bunch of main characters in other movies. He is scary, you can see how powerful he is and how he is getting stronger during the movie, in some moments that you can just hear his steps, you squirms out of tension, in some moments you can see in his face that he is angry and is so notable how different things get whe he is like that, just at the beginning it does show how mighty he is.They gave him a background, wich helped to make us care about him to.The expressions that Josh Brolin had was so much on point. His Cgi is insanely great, it is so good that doesn't even seem that it is a cgi character, you completely forgets that it is fake. He did had a nice arc.The Black Order characters are all well designed and all had their moments, but only fauce de ebano were well developed, he did had his speech, kid of had a background and all of his moments were dope.The film splits into nuclei, all the heroes start isolated from eachother and posteriorly some end up finding others, and the 2h30min of movie help to it to happen in the most natural way as possible. The presentation of each core is done with mastery, inserting the audience into the language of the original film, whether through colors, as in the case of Asgard, or music, with the Guardians of the Galaxy and Wakanda. The movie does have a nice balance between comedy and drama, even that are some jokes that felt out of place, in the most they did worked and didn't disturb the tone of the movie, it still serious and with consequences. The movie has gigantic scales, it is not like any other movie that you did watched for sure, it is different thant any other, and this is another important factor that makes it so great. One of the best actions that i have ever seen, the movie is so happy in doing the heroes work together and use their powers together, it did make some iconic moments and very memorable scenes. And are moments that are like Lord of the Rings, a giant and stunning war, that i can't talk a lot about it to not spoil.It definely shocked me much more than i expected, there are so many surprises, it is like a napalm, there is so much happening and is so fast and so burner at the same time. Some action scenes just made my hole movie session scream like crazy. The interaction between the characters and the personality shock was done with maestry, they gave time for them to meet up and not feel weird that they are cooperating, all felt organic.If there is some bad things about the movie ? Yes, in some specific moments the cgi doesn't worked and is possibly that it took you off the movie a bit. Some things about the story doesn't make a lot of sense to me, but isn't that crucial and will not ruin the movie to anyone.You do feel the break from one nucleus to the other, i believe that could have had some better transitions, but i get that it is very complicated. There is one specific relationship that i believe that could have been more explored for us to feel kind of how Thanos was feeling in that moment.It did creates nostalgia with interactions of old characters and excitement with the new cross-overs.One thing that this movie can do to us, is let us apprehensives, considering how big of a treat that Thanos is you fear for the life of literally every single one, this kind of thing doesn't happens in almost none super hero movie. It is surely the most shocking Marvel movie.The movie is very creative whe it is about on the using of the power of the stones. It did had moments that happened things that you could never see it coming.Avengers Infinity War, does not have a great story, but is fun and show that not every super hero movie needs to be the same.",2018-04-27,9,52,52,0,English
3,tamara2558,Thanos is a God now :D I don't want to spoil it. It was amazing I will most definitely be watching it like 10 more times,2018-04-27,10,35,35,0,English
4,Jitatman,"FINALLY.. It’s SPOILER-FREE so Go Ahead..We’ve waited 10 years for this Mega Showdown.. Well, I’ll say, Worth The Wait.. The Debts been paid off.. :B It’s MASSIVE.. Huge Sets, Awesome Cinematography, Fantastic Actors, Characters we’ve known since the first Iron-Man.. All in One movie, Together.. Fangasm.. :3So, the story was so secret nobody knew what’s gonna happen.. except the Director-duo &amp; the editor.. But Thanos is Bad news for the Avengers.. It’s not Spoiler, guys, you know it.. He can wipe out half the universe with just the snap of his fingers.. Just like that..Thanos is the Mad Titan as they say.. He won’t listen to anybody.. He’s Ruthless.. Wants to collect all 6 Infinity stones to rule the Universe as he see fit.. Can he manage to do that.? Well the movie has been made to get some answers.. So Go.. Get them..~ Starky, Ma Man RDJ in the house, baby.. uh-ah.. Started this MCU journey with the first Iron-Man.. Glad that happened..So perfect Starky.. :B~ Thor, Hemsworth.. He’s a God.. Can’t say much.. ;) But He was Awesome..~ Banner, :D :D didn’t write Hulk there.. Watch the movie.. Ruffalo was so funny.. He’s the Most Humorous Avenger (Of course after Starky)~ Cap Stave Rogers, as we live &amp; breathe.. 150 year old dude, still kicking A.. THE BEST ENTRY ANY SUPERHERO COULD EVER HAD.. LOVE &amp; SALUTE YOU, EVANS.. :B~ Natudi.. Romanoff.. How can one manage to stay Fit for that long.? Hats Off :B  ScarJo Forever :3 :*~ Doc, Betch of Cumber.. So Good.. Even his cloak had some funny moments like the movie Doctor Strange.. Time Stone did the Most Struggle..~ Spidey, Holland.. He got a new Suit.. Yaaayyyyy :D This is also not Spoiler.. Homecoming has this Coming here..~ BP, Black Panther, T’Challa, Boseman was So Good.. His personal bodyguard, Okoye, also was Very Good..~ Wanda, My Precious Witch.. :* Olsen is So Beautiful (&amp; Powerful) Only She can save the Uni. But can she.?  Watch the movie..~ Rocket, Cooper was Hilarious.. :D Groot, Diesel.. Was playing video games half the time.. I AM GROOT.. ;)~ Gamora, Saldana.. Thanos’ daughter.. So, she had to be serious.. She was Good.. Bravo..~ Thanos, Brolin.. Did Excellent Job.. The Best Villain Marvel has shown on screen till now..~ There’re so Many Superheroes, I can’t write individually.. So..~ War Machine, Nebula, Loki, Vision, Falcon, Winter Soldier, Wong, Mantis, Heimdall, Drax, Pepper Potts.. All did Very Good Job..There are Many Surprises as the movie unfolds.. Guys, This Movie Is Worth The 10 Years Wait.. JUST GO &amp; WATCH THE MOVIE.. YOU WON’T BE DISAPPOINTED.. That’s for Sure..First time in my life, Whole theatre was looking forward for the End credit scenes.. They sit till the end for the first time that I've experienced.. :)My Rating for the movie is *drum rolls*AWESOMETECULAR = AWESOME + SPECTACULAR (Yeah, It’s Stolen..)",2018-04-27,10,33,33,0,English
5,Megajohn85,"Thanos is Right. Best villain ever! The film was a true master class for the genre. An amazing balancing act of tone, emotion, action, suspense and an a 3rd act that will leave you on the edge of your seat with an ending that will make your jaw drop",2018-04-27,10,31,31,0,English
6,Francisco123,"I am in complete shock in how this movie was able to work as beautifully as it did. We asked Marvel to raise the stakes, and boy did they do just that. They weren’t wrong when they said be careful what you wish for.",2018-04-28,10,22,22,0,English
7,familyguy,OMG the most shocking ending ever seen. This is the movie worth watching twice and i did watch it twice. So many action so many character but none of them feel blank . Can't believe they pull of the stunt like that with the ending. Now i hope 2019 come soon,2018-04-27,9,19,19,0,English
8,moviemitch96,"Man oh man! All I can say is this: MIND BLOWN! JAW DROPPED! BRAINS ON THE FLOOR! I'm quite honestly still reeling from what I just witnessed! Well... first thing's first! The pros: Each character had their own cool or unique moments. I was really pleased for the most part with the amount of time each of the characters had in the spotlight! The action in this also rarely let up! Once the movie started, it really got going and didn't slow down a whole lot until the very end!  Furthermore, I felt or went through just about every emotion under the sun while watching this! Joy, excitement, sadness, anger, anxiety, you name it, I felt it! To top that all off, my heart just about wanted to shatter during certain moments! I can't even begin to express how often I found myself yelling at the screen overall! I'll also say that the personal icing on the cake for me was the post-credit scene, as it alluded to an upcoming MCU film that I've been beyond excited for! The cons: Certain character deaths were rushed and unearned in my opinion. And also, some heroes that come to mind that I felt didn't receive quite enough screentime were Hulk, Black Panther, Bucky Barnes, and sadly Steve Rogers too. Other than that, I'd say that most everyone else got their fair share of screentime. And lastly, OF COURSE it had to end on a cliffhanger for Avengers 4 next year, so that was obviously highly frustrating, especially since it left us hanging on a not-so-pretty note, but that's all I'll say! Overall, this was one wild film and quite a lot to take in all at once to be honest! However, I still loved and was actively and emotionally invested in so much of it that I can say with certainty that this was a step above the slightly weaker Age of Ultron, but the lightheartedness and sheer fun of the very first Avengers remains my favorite still, but like I said, you certainly can't go wrong with this one either!",2018-04-27,9,18,18,0,English
9,EpicLadySponge,"What makes Avengers: Infinity War the most epic crossover in cinema history you probably won't forget as soon as you first watch it you may ask? Well I can't say much about the film, but as far as I know, it brings all of its characters from previous Marvel Cinematic Universe films and unite them together to face their biggest threat out of all the villains from the previous films. The way this film is executed from start to end is why I recommend you start watching Avengers: Infinity War in case you haven't yet.",2018-04-27,8,18,18,0,English
